,male,age,currentSmoker,cigsPerDay,BPMeds,prevalentStroke,prevalentHyp,diabetes,totChol,sysBP,diaBP,BMI,heartRate,glucose,TenYearCHD,pulse_pressure
male,1.0,-0.02897863938604286,0.1975964735347461,0.315629849085159,-0.05154496756986429,-0.004546326644938703,0.0053133490608055925,0.015707987432113265,-0.06954896842799745,-0.035989265418974334,0.057933468655128176,0.08165315077349383,-0.11662108947074735,0.010072946652350723,0.08842756735157493,-0.10092715368862826
age,-0.02897863938604286,1.0,-0.213747945265249,-0.19184667445916265,0.12095492119712345,0.05765481580465202,0.3071940768671203,0.10125768873071221,0.2601045015833808,0.3943015379245825,0.20610398945367533,0.13517428026207118,-0.012847716356247886,0.11778819521724863,0.22525610383059044,0.42426562026974185
currentSmoker,0.1975964735347461,-0.213747945265249,1.0,0.7602392679294859,-0.04835845614801315,-0.03298778653239857,-0.10325974038796312,-0.04429512082472811,-0.04646641396953944,-0.13023011587156863,-0.10774649457796896,-0.1671609927668834,0.062330481851973527,-0.05517712092145527,0.019456266284899725,-0.10797013097369317
cigsPerDay,0.315629849085159,-0.19184667445916265,0.7602392679294859,1.0,-0.044674982694451984,-0.03224404905756564,-0.06504555649144106,-0.03615012191770538,-0.026976195986208144,-0.08837534684639224,-0.05668743209147917,-0.09221078802735336,0.07385272089469448,-0.056863264283299915,0.05885914054208153,-0.08658648846934609
BPMeds,-0.05154496756986429,0.12095492119712345,-0.04835845614801315,-0.044674982694451984,1.0,0.11460866352148838,0.25869668289197484,0.0513943287807225,0.07857776818447135,0.25150293171416344,0.19235553441453038,0.0995836755221038,0.0151422597717095,0.04912367225089368,0.08641713937851303,0.22126060293240254
prevalentStroke,-0.004546326644938703,0.05765481580465202,-0.03298778653239857,-0.03224404905756564,0.11460866352148838,1.0,0.0748296728205514,0.006949243086922416,0.00012257132989638956,0.05700872197635178,0.04519024394350093,0.024264648681223,-0.017674242903525487,0.01872165335312754,0.06180994607791267,0.048866054021400235
prevalentHyp,0.0053133490608055925,0.3071940768671203,-0.10325974038796312,-0.06504555649144106,0.25869668289197484,0.0748296728205514,1.0,0.07780840922749512,0.16305385431249364,0.6967547676890465,0.6157514239418015,0.3005100762838757,0.14719639073746324,0.0835706789820713,0.17760273095315632,0.5458163286659777
diabetes,0.015707987432113265,0.10125768873071221,-0.04429512082472811,-0.03615012191770538,0.0513943287807225,0.006949243086922416,0.07780840922749512,1.0,0.040116940936702226,0.1112834330556605,0.05032923354166244,0.08602519379873834,0.048996225167234196,0.6064929823146472,0.09731651337479544,0.12609405438698285
totChol,-0.06954896842799745,0.2601045015833808,-0.04646641396953944,-0.026976195986208144,0.07857776818447135,0.00012257132989638956,0.16305385431249364,0.040116940936702226,1.0,0.2075217912583134,0.16388836008190322,0.11481073520674696,0.09053714662637596,0.045559182831637866,0.0815657158396512,0.17837715079460437
sysBP,-0.035989265418974334,0.3943015379245825,-0.13023011587156863,-0.08837534684639224,0.25150293171416344,0.05700872197635178,0.6967547676890465,0.1112834330556605,0.2075217912583134,1.0,0.7840020914320167,0.32516084127492456,0.18214270227132212,0.13513608572243022,0.21642903925772902,0.8642096857943414
diaBP,0.057933468655128176,0.20610398945367533,-0.10774649457796896,-0.05668743209147917,0.19235553441453038,0.04519024394350093,0.6157514239418015,0.05032923354166244,0.16388836008190322,0.7840020914320167,1.0,0.3766230674527753,0.18125698636678972,0.059042051327969275,0.14529910399806262,0.3652190129120924
BMI,0.08165315077349383,0.13517428026207118,-0.1671609927668834,-0.09221078802735336,0.0995836755221038,0.024264648681223,0.3005100762838757,0.08602519379873834,0.11481073520674696,0.32516084127492456,0.3766230674527753,1.0,0.0675197748355137,0.08221938842557687,0.0742166192731562,0.18237087523467566
heartRate,-0.11662108947074735,-0.012847716356247886,0.062330481851973527,0.07385272089469448,0.0151422597717095,-0.017674242903525487,0.14719639073746324,0.048996225167234196,0.09053714662637596,0.18214270227132212,0.18125698636678972,0.0675197748355137,1.0,0.08731519819762427,0.02285675646571665,0.1262398578886585
glucose,0.010072946652350723,0.11778819521724863,-0.05517712092145527,-0.056863264283299915,0.04912367225089368,0.01872165335312754,0.0835706789820713,0.6064929823146472,0.045559182831637866,0.13513608572243022,0.059042051327969275,0.08221938842557687,0.08731519819762427,1.0,0.12127739554722267,0.1548029057803259
TenYearCHD,0.08842756735157493,0.22525610383059044,0.019456266284899725,0.05885914054208153,0.08641713937851303,0.06180994607791267,0.17760273095315632,0.09731651337479544,0.0815657158396512,0.21642903925772902,0.14529910399806262,0.0742166192731562,0.02285675646571665,0.12127739554722267,1.0,0.2068017392546806
pulse_pressure,-0.10092715368862826,0.42426562026974185,-0.10797013097369317,-0.08658648846934609,0.22126060293240254,0.048866054021400235,0.5458163286659777,0.12609405438698285,0.17837715079460437,0.8642096857943414,0.3652190129120924,0.18237087523467566,0.1262398578886585,0.1548029057803259,0.2068017392546806,1.0
